epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
22,6885.9,0.4806,0.78408,1,0.4437,0.0089605,0.0089605,0.0089605
23,6956.68,0.53235,0.73746,1,0.51613,0.008911,0.008911,0.008911
24,7027.72,0.50601,0.74689,1,0.5044,0.0088615,0.0088615,0.0088615
25,7098.17,0.48272,0.76532,1,0.47381,0.008812,0.008812,0.008812
26,7165.39,0.4986,0.75,1,0.50268,0.0087625,0.0087625,0.0087625
27,7234.36,0.49523,0.7419,1,0.51489,0.008713,0.008713,0.008713
28,7303.98,0.47353,0.74523,1,0.50935,0.0086635,0.0086635,0.0086635
29,7378.49,0.46502,0.74867,1,0.49949,0.008614,0.008614,0.008614
30,7451.44,0.4738,0.75389,1,0.48813,0.0085645,0.0085645,0.0085645
31,7521.56,0.48372,0.75766,1,0.48076,0.008515,0.008515,0.008515
32,7591.79,0.45824,0.75988,1,0.47463,0.0084655,0.0084655,0.0084655
33,7662.56,0.4512,0.76199,1,0.46993,0.008416,0.008416,0.008416
34,7733.85,0.45214,0.76465,1,0.46424,0.0083665,0.0083665,0.0083665
35,7803.74,0.43912,0.76521,1,0.46245,0.008317,0.008317,0.008317
36,7877.59,0.45938,0.76465,1,0.46121,0.0082675,0.0082675,0.0082675
37,7949.66,0.45722,0.76277,1,0.46343,0.008218,0.008218,0.008218
38,8019.78,0.44848,0.7631,1,0.46274,0.0081685,0.0081685,0.0081685
39,8092.29,0.44275,0.76421,1,0.45932,0.008119,0.008119,0.008119
40,8164.94,0.44193,0.76465,1,0.45817,0.0080695,0.0080695,0.0080695
41,8236.51,0.43505,0.76532,1,0.45726,0.00802,0.00802,0.00802
42,8309.25,0.42474,0.76565,1,0.45658,0.0079705,0.0079705,0.0079705
43,8381.21,0.42222,0.76521,1,0.45713,0.007921,0.007921,0.007921
44,8452.98,0.43517,0.76476,1,0.45668,0.0078715,0.0078715,0.0078715
45,8523.74,0.41618,0.76432,1,0.45647,0.007822,0.007822,0.007822
46,8595.35,0.41761,0.7651,1,0.45542,0.0077725,0.0077725,0.0077725
47,8666.77,0.41806,0.76499,1,0.45546,0.007723,0.007723,0.007723
48,8739.23,0.42897,0.76521,1,0.4554,0.0076735,0.0076735,0.0076735
49,8810.22,0.41642,0.76599,1,0.4541,0.007624,0.007624,0.007624
50,8881.69,0.42913,0.76554,1,0.45548,0.0075745,0.0075745,0.0075745
51,8949.24,0.43054,0.76488,1,0.45628,0.007525,0.007525,0.007525
52,9015.18,0.42027,0.76365,1,0.45975,0.0074755,0.0074755,0.0074755
53,9083.32,0.41929,0.7631,1,0.45945,0.007426,0.007426,0.007426
54,9154.99,0.39957,0.76365,1,0.45789,0.0073765,0.0073765,0.0073765
55,9230,0.41314,0.76543,1,0.45549,0.007327,0.007327,0.007327
56,9303.23,0.39757,0.76543,1,0.45475,0.0072775,0.0072775,0.0072775
57,9376.39,0.3924,0.76599,1,0.45277,0.007228,0.007228,0.007228
58,9445.63,0.39964,0.76687,1,0.45255,0.0071785,0.0071785,0.0071785
59,9516.52,0.39217,0.76687,1,0.45188,0.007129,0.007129,0.007129
60,9587.71,0.39614,0.76599,1,0.45272,0.0070795,0.0070795,0.0070795
61,9659.89,0.3985,0.76632,1,0.45211,0.00703,0.00703,0.00703
62,9732.38,0.40727,0.76732,1,0.45122,0.0069805,0.0069805,0.0069805
63,9806.37,0.39098,0.76787,1,0.45067,0.006931,0.006931,0.006931
64,9877.92,0.38558,0.76865,1,0.44965,0.0068815,0.0068815,0.0068815
65,9950.3,0.39764,0.76909,1,0.44896,0.006832,0.006832,0.006832
66,10022.5,0.39504,0.77043,1,0.44611,0.0067825,0.0067825,0.0067825
67,10095.8,0.38381,0.77209,1,0.44322,0.006733,0.006733,0.006733
68,10167.7,0.37112,0.7742,1,0.44072,0.0066835,0.0066835,0.0066835
69,10237.5,0.38423,0.77453,1,0.43908,0.006634,0.006634,0.006634
70,10307.8,0.36803,0.77698,1,0.43563,0.0065845,0.0065845,0.0065845
71,10380.8,0.37235,0.77864,1,0.43324,0.006535,0.006535,0.006535
72,10454,0.37487,0.77964,1,0.43098,0.0064855,0.0064855,0.0064855
73,10524.8,0.37831,0.78053,1,0.42914,0.006436,0.006436,0.006436
74,10594.1,0.37852,0.78164,1,0.42755,0.0063865,0.0063865,0.0063865
75,10666.9,0.37763,0.78308,1,0.42477,0.006337,0.006337,0.006337
76,10738.3,0.37051,0.78541,1,0.42157,0.0062875,0.0062875,0.0062875
77,10810.1,0.36504,0.78608,1,0.41965,0.006238,0.006238,0.006238
78,10879.6,0.35357,0.78774,1,0.41868,0.0061885,0.0061885,0.0061885
79,10949.8,0.35481,0.78897,1,0.41607,0.006139,0.006139,0.006139
80,11020.2,0.35042,0.79196,1,0.41282,0.0060895,0.0060895,0.0060895
81,11087.4,0.34611,0.79407,1,0.40937,0.00604,0.00604,0.00604
82,11155.5,0.34224,0.79596,1,0.4072,0.0059905,0.0059905,0.0059905
83,11225.3,0.35378,0.79796,1,0.40499,0.005941,0.005941,0.005941
84,11295,0.34552,0.80018,1,0.40194,0.0058915,0.0058915,0.0058915
85,11365.8,0.34964,0.80295,1,0.39815,0.005842,0.005842,0.005842
86,11437.3,0.35044,0.80562,1,0.39434,0.0057925,0.0057925,0.0057925
87,11509.6,0.33648,0.80839,1,0.39117,0.005743,0.005743,0.005743
88,11578.6,0.33212,0.81139,1,0.38794,0.0056935,0.0056935,0.0056935
89,11651.2,0.33772,0.81428,1,0.38451,0.005644,0.005644,0.005644
90,11724.3,0.354,0.81761,1,0.38116,0.0055945,0.0055945,0.0055945
91,11793,0.34161,0.81994,1,0.37843,0.005545,0.005545,0.005545
